year,lcm_county_id,hh_size,total_number_of_households
2011,06001,one,144803
2011,06013,one,85236
2011,06041,one,29456
2011,06055,one,11697
2011,06075,one,130549
2011,06081,one,63919
2011,06085,one,133580
2011,06095,one,32123
2011,06097,one,53369
2012,06001,one,145364
2012,06013,one,93045
2012,06041,one,32079
2012,06055,one,12668
2012,06075,one,136815
2012,06081,one,68901
2012,06085,one,133027
2012,06095,one,32956
2012,06097,one,50422
2013,06001,one,147123
2013,06013,one,87191
2013,06041,one,31895
2013,06055,one,12022
2013,06075,one,134187
2013,06081,one,61638
2013,06085,one,133896
2013,06095,one,33333
2013,06097,one,54235
2014,06001,one,137552
2014,06013,one,89899
2014,06041,one,35035
2014,06055,one,12038
2014,06075,one,134065
2014,06081,one,62818
2014,06085,one,134405
2014,06095,one,30882
2014,06097,one,54859
2015,06001,one,138663
2015,06013,one,86408
2015,06041,one,32333
2015,06055,one,13149
2015,06075,one,133937
2015,06081,one,57938
2015,06085,one,130568
2015,06095,one,33174
2015,06097,one,53210
2016,06001,one,138557
2016,06013,one,83423
2016,06041,one,33013
2016,06055,one,14161
2016,06075,one,124885
2016,06081,one,59046
2016,06085,one,127972
2016,06095,one,29229
2016,06097,one,52393
2017,06001,one,139647
2017,06013,one,81688
2017,06041,one,30282
2017,06055,one,12348
2017,06075,one,131049
2017,06081,one,62017
2017,06085,one,128155
2017,06095,one,35098
2017,06097,one,54959
2018,06001,one,140793
2018,06013,one,87593
2018,06041,one,29428
2018,06055,one,11005
2018,06075,one,125466
2018,06081,one,56594
2018,06085,one,130039
2018,06095,one,33767
2018,06097,one,49557
2019,06001,one,152150
2019,06013,one,91579
2019,06041,one,32844
2019,06055,one,13628
2019,06075,one,133760
2019,06081,one,60842
2019,06085,one,137042
2019,06095,one,34647
2019,06097,one,51370
2020,06001,one,140797
2020,06013,one,86988
2020,06041,one,30769
2020,06055,one,12237
2020,06075,one,131319
2020,06081,one,58558
2020,06085,one,129387
2020,06095,one,32896
2020,06097,one,51098
2011,06001,two,162979
2011,06013,two,117662
2011,06041,two,39735
2011,06055,two,19210
2011,06075,two,114470
2011,06081,two,81812
2011,06085,two,174087
2011,06095,two,43508
2011,06097,two,62958
2012,06001,two,165327
2012,06013,two,117999
2012,06041,two,35076
2012,06055,two,16492
2012,06075,two,112272
2012,06081,two,81822
2012,06085,two,181001
2012,06095,two,44173
2012,06097,two,64120
2013,06001,two,164872
2013,06013,two,119625
2013,06041,two,34107
2013,06055,two,15284
2013,06075,two,120874
2013,06081,two,80920
2013,06085,two,181860
2013,06095,two,45790
2013,06097,two,64288
2014,06001,two,174249
2014,06013,two,118368
2014,06041,two,33538
2014,06055,two,17461
2014,06075,two,115777
2014,06081,two,81625
2014,06085,two,184136
2014,06095,two,48014
2014,06097,two,65613
2015,06001,two,174839
2015,06013,two,122036
2015,06041,two,37115
2015,06055,two,15708
2015,06075,two,119352
2015,06081,two,82396
2015,06085,two,190772
2015,06095,two,48322
2015,06097,two,64098
2016,06001,two,172573
2016,06013,two,125588
2016,06041,two,36030
2016,06055,two,16264
2016,06075,two,124120
2016,06081,two,80781
2016,06085,two,188040
2016,06095,two,48734
2016,06097,two,64563
2017,06001,two,176194
2017,06013,two,126838
2017,06041,two,34908
2017,06055,two,16195
2017,06075,two,120182
2017,06081,two,85661
2017,06085,two,194474
2017,06095,two,47655
2017,06097,two,66727
2018,06001,two,177540
2018,06013,two,125966
2018,06041,two,40144
2018,06055,two,16905
2018,06075,two,123044
2018,06081,two,87613
2018,06085,two,197759
2018,06095,two,47694
2018,06097,two,67335
2019,06001,two,179441
2019,06013,two,121888
2019,06041,two,37075
2019,06055,two,16588
2019,06075,two,119768
2019,06081,two,88002
2019,06085,two,203245
2019,06095,two,49842
2019,06097,two,68508
2020,06001,two,173638
2020,06013,two,125801
2020,06041,two,37579
2020,06055,two,16890
2020,06075,two,119667
2020,06081,two,85245
2020,06085,two,194296
2020,06095,two,48435
2020,06097,two,65572
2011,06001,three,96392
2011,06013,three,69063
2011,06041,three,14559
2011,06055,three,5357
2011,06075,three,43649
2011,06081,three,37708
2011,06085,three,116744
2011,06095,three,26120
2011,06097,three,25771
2012,06001,three,97683
2012,06013,three,63171
2012,06041,three,13757
2012,06055,three,5896
2012,06075,three,45083
2012,06081,three,41664
2012,06085,three,112945
2012,06095,three,24593
2012,06097,three,29319
2013,06001,three,98851
2013,06013,three,65873
2013,06041,three,14497
2013,06055,three,8238
2013,06075,three,47478
2013,06081,three,45438
2013,06085,three,113250
2013,06095,three,25257
2013,06097,three,29155
2014,06001,three,103716
2014,06013,three,70095
2014,06041,three,16314
2014,06055,three,7803
2014,06075,three,49018
2014,06081,three,42719
2014,06085,three,114359
2014,06095,three,26731
2014,06097,three,26988
2015,06001,three,103213
2015,06013,three,67486
2015,06041,three,15695
2015,06055,three,8008
2015,06075,three,47312
2015,06081,three,47902
2015,06085,three,116933
2015,06095,three,23651
2015,06097,three,32049
2016,06001,three,101614
2016,06013,three,68228
2016,06041,three,17202
2016,06055,three,7639
2016,06075,three,51436
2016,06081,three,51655
2016,06085,three,118549
2016,06095,three,27416
2016,06097,three,30083
2017,06001,three,99653
2017,06013,three,66945
2017,06041,three,16067
2017,06055,three,7008
2017,06075,three,49000
2017,06081,three,47736
2017,06085,three,117223
2017,06095,three,28231
2017,06097,three,27244
2018,06001,three,101701
2018,06013,three,73417
2018,06041,three,14813
2018,06055,three,6431
2018,06075,three,53708
2018,06081,three,45651
2018,06085,three,126043
2018,06095,three,25985
2018,06097,three,27654
2019,06001,three,99140
2019,06013,three,71956
2019,06041,three,14418
2019,06055,three,7280
2019,06075,three,51540
2019,06081,three,45049
2019,06085,three,118924
2019,06095,three,25962
2019,06097,three,26276
2020,06001,three,100968
2020,06013,three,71449
2020,06041,three,15264
2020,06055,three,7196
2020,06075,three,52027
2020,06081,three,48908
2020,06085,three,120655
2020,06095,three,27201
2020,06097,three,29544
2011,06001,four or more,141385
2011,06013,four or more,104365
2011,06041,four or more,17973
2011,06055,four or more,13669
2011,06075,four or more,54038
2011,06081,four or more,73087
2011,06085,four or more,182048
2011,06095,four or more,38241
2011,06097,four or more,38605
2012,06001,four or more,139900
2012,06013,four or more,106182
2012,06041,four or more,21515
2012,06055,four or more,13168
2012,06075,four or more,52672
2012,06081,four or more,66501
2012,06085,four or more,186837
2012,06095,four or more,39417
2012,06097,four or more,40487
2013,06001,four or more,145063
2013,06013,four or more,109667
2013,06041,four or more,22348
2013,06055,four or more,11938
2013,06075,four or more,52112
2013,06081,four or more,70795
2013,06085,four or more,190331
2013,06095,four or more,38197
2013,06097,four or more,41409
2014,06001,four or more,148084
2014,06013,four or more,109574
2014,06041,four or more,18622
2014,06055,four or more,13214
2014,06075,four or more,54546
2014,06081,four or more,70311
2014,06085,four or more,189168
2014,06095,four or more,39686
2014,06097,four or more,43415
2015,06001,four or more,155113
2015,06013,four or more,116066
2015,06041,four or more,20744
2015,06055,four or more,12754
2015,06075,four or more,56315
2015,06081,four or more,75044
2015,06085,four or more,195513
2015,06095,four or more,40355
2015,06097,four or more,41305
2016,06001,four or more,159268
2016,06013,four or more,114049
2016,06041,four or more,20088
2016,06055,four or more,11497
2016,06075,four or more,58262
2016,06081,four or more,71963
2016,06085,four or more,201126
2016,06095,four or more,43793
2016,06097,four or more,40465
2017,06001,four or more,158095
2017,06013,four or more,116575
2017,06041,four or more,22962
2017,06055,four or more,12297
2017,06075,four or more,60092
2017,06081,four or more,68771
2017,06085,four or more,193959
2017,06095,four or more,40143
2017,06097,four or more,39899
2018,06001,four or more,155376
2018,06013,four or more,109157
2018,06041,four or more,20569
2018,06055,four or more,12974
2018,06075,four or more,60609
2018,06081,four or more,69796
2018,06085,four or more,191267
2018,06095,four or more,44845
2018,06097,four or more,42888
2019,06001,four or more,154901
2019,06013,four or more,114369
2019,06041,four or more,20961
2019,06055,four or more,10611
2019,06075,four or more,60783
2019,06081,four or more,71110
2019,06085,four or more,184426
2019,06095,four or more,39942
2019,06097,four or more,44535
2020,06001,four or more,157771
2020,06013,four or more,114061
2020,06041,four or more,21288
2020,06055,four or more,12161
2020,06075,four or more,59128
2020,06081,four or more,70640
2020,06085,four or more,190976
2020,06095,four or more,42659
2020,06097,four or more,42744
